,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Summary,Meta_Score,User_Review
5428,EA Playground,Wii,2007.0,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3,2007-10-22,"EA Playground features games that are easy to pick-up-and-play by fully capitalizing on the unique control mechanics of both the Wii and the Nintendo DS. Swing the Wii remote to excel in tetherball, blow into the Nintendo DS mic to fire spitballs or battle your friends and family in dodgeball. Every game brings its own twist to the controls for the ultimate, all-ages, party game. In EA Playground, you don't always have to be playing with your friends and family in order to have fun. Explore the world on your own as you enter different locations, unlocking new activities, making wacky in-game friends and collecting rewards and stickers to upgrade your abilities along the way. [Electronic Arts]",66.0,7.6
5432,Romancing SaGa 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3,2019-11-11,"Originally released in 1995 for the Super Famicom (the Japanese name for the Super Nintendo Entertainment System) Romancing SaGa 3 is one of the greatest adventures of its time. It was developed by some of the biggest names in RPG development, including the legendary Akitoshi Kawazu, director of Romancing SaGa, SaGa Frontier and THE FINAL FANTASY LEGEND. You pick a lead character from eight unique heroes, and recruit additional members to your party as the adventure continues. You'll be able to take up to six characters into battle at a time, and engage in tactical turn-based combat against some truly fearsome foes. This new remastered version of the game features absolutely beautiful HD visuals with newly drawn art and entirely new pictures, all created by illustrator Tomomi Kobayashi - famed for her work on the SaGa series. It also adds a new dungeon to explore and battle in, new scenarios and a new game+ feature.",74.0,6.3
5434,EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3,2010-11-16,Take the Next Step in your journey to better health and fitness.,79.0,8.1
5443,Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3,2016-01-28,"After uncovering an ancient mystery, Lara Croft embarks on a journey throughout the most treacherous and remote regions of the world to find the secret of immortality. Forming powerful new alliances and relying on her intellect and survival skills, Lara will ultimately embrace her fate as the Tomb Raider. Featuring epic, high-octane action moments set in the most beautifully hostile environments on earth, Rise of the Tomb Raider delivers a cinematic survival action adventure where you will join Lara Croft on her first tomb raiding expedition and witness the rise of an icon.",86.0,8.0
5449,Yoshi's Woolly World,WiiU,2015.0,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29,2015-10-16,"Take Yoshi on an adventure to remember in Yoshi Land for Nintendo Wii U. Enjoy dual-screen control thanks to the Wii U Touchscreen GamePad, while you'll also be able to experience full integration with Nintendo's MiiVerse service.",78.0,8.4
5450,FIFA Street,PS3,2012.0,Sports,Electronic Arts,0.11,0.92,0.0,0.25,1.29,2012-03-13,"Powered by the revolutionary FIFA Soccer gameplay engine, and introducing Street Ball Control, FIFA Street will deliver an arsenal of groundbreaking street dribbling styles and trick moves that ignite the one-on-one battles within matches. Whether performing one panna after another without breaking a sweat the way street soccer is played in Amsterdam, or a physical, fight-for-possession style the way players compete in London, fans will enjoy a superior fidelity of ball control and responsiveness than anything ever experienced in a soccer videogame. Plus, for the first time ever, utilize aerial skills to maneuver past opponents, an all-new sophisticated one-touch passing system for quick, precision passes, and over 50 never-before-experienced skill moves.",77.0,6.7
5470,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,2003-07-01,"The ruthless Captain Barbossa rules the high seas with treasures beyond your wildest dreams. As rogue pirate Jack Sparrow, your mission is to collect enough wealth to lead an attack against the dark captain and his band of undead. Fight, cheat, and steal your way through 20 missions filled with hidden treasures. Among the weapons you'll have to fight your foes are cannons, artillery, and swords. If you have what it takes, you'll soon unravel the mystery of the treacherous skeleton crew.",49.0,6.8
5471,Transformers,PS2,2004.0,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,2004-05-11,"Transformers is a fast-paced third-person action/combat game which puts the player in control of Optimus Prime, Hot Shot and Red Alert across 8 different environments on Earth and Cybertron. Features include 40 different kinds of mini-con upgrades, 20 assorted types weapons, and the ability to transform from vehicle to robot form. Released exclusively for PlayStation 2.",75.0,8.7
5472,Guitar Hero: Aerosmith,Wii,2008.0,Misc,Activision,1.04,0.14,0.0,0.1,1.29,2008-06-29,"Guitar Hero: Aerosmith is the first game built around the legendary music of ""America's Greatest Rock ‘N Roll Band"": Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton and Joey Kramer. This latest Guitar Hero installment puts players in the shoes of Perry (guitar), Whitford (guitar) and Hamilton (bass), as they rock out alongside frontman Tyler and drummer Kramer. Gamers experience Aerosmith’s Grammy winning career, from their first gig to becoming rock royalty, in a way that no other entertainment vehicle offers. As fans progress through their careers in the game, they can rock out to scores of Aerosmith’s greatest hits, as well as songs from celebrated artists that the band has either performed with or has been inspired by in some way. Venues from historical moments during the band's illustrious career offer the experience of ""sweet emotion"" and further capture the essence of the band's rise to fame. [Activision]",73.0,6.8
5489,Valkyria Chronicles,PS3,2008.0,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29,2008-11-04,"Valkyria Chronicles is set in a fictitious continent reminiscent of 1930s Europe, divided in two and ruled by the Empire and the Federation. The Empire has set its sights on invading a small neutral country called Gallia, which is situated in the middle of the two great empires. The game follows a hero named Welkin and his fellow soldiers of the Federation's 7th Platoon that are fighting against the Empire, who are intent on unifying the continent under its power. The Federation discovers that the Empire possesses a secret weapon, known as the ""Valkyria"" - an ancient race with special powers thought to exist only in legends. With this new discovery, the fate of the Federation's ability to win the war and a hope for a better future hangs in the balance. [Sega]",86.0,8.8
5495,Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,2004-02-10,"Create your own champions, each with unique powers, appearances and skills in this Action RPG. Experience an epic adventure filled with powerful action and ominous intrigue. Battle vicious monsters where your mastery of weaponry and spells is the only thing between you and the supremacy of evil. Champions of Norrath allows gamers to create their own unique hero to journey from the city of Faydwer into the wilds of Norrath to save the land from a gathering army of evil orcs and goblins. Players can adventure alone or with a band of up to three other players either over the Internet or on a single PlayStation 2 system with a Multitap. Import player characters into friends' games using a memory card and then take them home to play solo--the play options offer console gamers the freedom to play anytime and from any location. Champions of Norrath offers players more than 100 hours of gameplay per player character, unlimited battles, deadly missions and unmatched character customization in an enthralling fantasy world. [Sony Online Entertainment]",85.0,8.2
5496,Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28,2014-12-18,"Metal Gear Solid V: Ground Zeroes is the first segment of the Metal Gear Solid V Experience and prologue to the larger second segment, Metal Gear Solid V: The Phantom Pain launching thereafter.",80.0,7.6
5508,Manhunt,PS2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,2003-11-18,"They just killed Cash. Now, they want to kill him again. America is full of run down, broken rust-belt towns where nobody cares and anything goes. In Carcer City, nothing matters anymore and all that's left are cheap thrills. The ultimate rush is the power to grant life and take it away, for sport. This time James Earl Cash, you are the sport. They gave you your life back. Now, they are going to hunt you down. You awake to the sound of your own panicked breath. You must run, hide and fight to survive. If you can stay alive long enough, you may find out who did this to you. This is a brutal blood sport. [Rockstar]",76.0,8.4
5514,Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,2012-03-23,Kid Icarus: Uprising is the long-awaited franchise follow-up to the NES classic.,83.0,8.7
5515,Silent Hill 2,PS2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,2001-09-24,"Players assume the role of James, who receives a cryptic letter from his wife (who has been dead for 3 years) beckoning him to meet her in Silent Hill, a place that holds great meaning for the couple. The mystery of the letter compels him to return to the surreal horror and all-too-real danger in Silent Hill.",89.0,9.2
5517,Tomb Raider: Underworld,PS3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27,2008-11-18,"Master your surroundings: Reach new heights with the broadest range of acrobatic abilities and utilize objects within the environment to uncover new paths to explore. Explore epic and unknown worlds: Discover ancient mysteries of the underworld hidden within the coast of Thailand, frozen islands of the Arctic Sea, the jungles of Mexico, and more. Each level is an elaborate multi-stage puzzle masked within an interactive environmental playground offering more flexibility over how the area is solved. New range of combat options: Choose to pacify or kill, target multiple enemies at once with the new dual-target system, and shoot with one hand while suspended with the other. New state-of-the-art gear: Utilize the latest technology in Lara's upgraded inventory to navigate the world including: Active Sonar map: A revolutionary new tool that emits an active sonar ping to create a 3D image of Lara's surroundings, perfect for uncovering hidden items and locations; Multi-purpose grapple: A claw-like device with a high-tension cable designed for climbing, rappelling, performing wall runs and manipulating objects within the environment; All-terrain hybrid motorbike: A unique vehicle design built to drive on everything from mud to snow and ice. [Eidos Interactive]",80.0,7.7
5547,Castlevania: Symphony of the Night,PS,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,1997-10-02,"As a descendant of Dracula, you must end the vampire bloodline. Can you rid the world of this unspeakable terror? Uncover the mystery of Castlevania and challenge an adventure as legendary as its name. Over 140 different enemies, bosses, and ghastly creatures. Awesome magical spells - transform into a bat, a wolf, or etheral mist. Hidden weapons, secrets, and characters...the largest Castlevania ever!",93.0,9.2
5549,The Sims 2: Nightlife,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,2005-09-13,"The Sims 2 Nightlife takes Sims into the night to explore all of their favorite after-dark activities. Players can either head out and discover their love lives or have a crazy night out with friends. With the new dating gameplay, players will see if their Sims have chemistry with others which will determine their romantic fate. The newest addition to the game includes the brand new pleasure seeker aspiration allowing players to explore a life filled with unforgettable dates, endless nights of dancing and fine dining. Make your Sims nightlife fantasy a reality with over 125 new objects including a DJ booth, poker table and all you need to design the ultimate nightclub and VIP lounge. [Electronic Arts]",76.0,6.8
5550,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27,2013-03-24,"Discover the 3D world of Pokemon Mystery Dungeon: Gates to Infinity, where Pokemon speak and adventures are always nearby. What's more, you will become a Pokemon yourself. You'll meet all kinds of Pokemon throughout the game, both in the towns you'll visit and the Mystery Dungeons you'll explore. There are tons of them lurking around where you'd least expect them.",59.0,6.3
5551,NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,2008-10-07,"Improved facial and skin textures, better uniforms, improved eye movement and more realistic crowd reactions bring the game alive like never before. Analyst Clark Kellogg and sideline reporter Cheryl Miller join color commentator Kevin Harlan to create one of the most knowledgeable broadcast teams in the game. End each quarter with enhanced, multiple angle replay highlights, and be rewarded like never before with all-new, true-to-life celebration sequences after you capture the NBA championship. [2K Sports]",84.0,7.1
5557,WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,2011-11-22,WWE '12 is the next iteration in this wrestling series with Smackdown vs Raw being no more.,72.0,6.8
5563,.hack//Infection Part 1,PS2,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,2003-02-10,"A fourteen year old boy named Kite is invited by his schoolmate, Orca, to play the online game The World. While playing the game both Kite and his friend are attacked by an unknown monster. As a result, Orca becomes comatose in the real world. Despite his friend's condition, Kite continues to play The World believing he'll find a way to revive Orca. While playing, Kite accepts Book of Twilight from a mysterious girl in white. Kite is transformed into an outlaw player within the game wielding the very same power responsible for Orca's condition. [Bandai]",75.0,8.3
5564,Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.73,0.0,0.15,1.27,2006-05-22,"""Our goal was to create a game that is perfectly addictive in its focused simplicity, a game that showcases the true possibilities of a next gen experience, not just in looks but in feel and pace,"" stated Sam Houser, Founder and Executive Producer of Rockstar Games. ""We wanted to use the power of the new hardware and the resolution of new televisions to give the game an immediacy, an intensity and a sense of physicality and reality, resulting in a purer, more visceral experience that simply was not possible previously."" Houser continued, ""It is a distillation of game design philosophy, focusing on removing the traditional areas of compromise inherent in managing size and scope and concentrating the hardware's entire power on one activity, with the aim of doing that better than it's ever been done before."" [Rockstar Games]",81.0,7.6
5568,Tamagotchi Connection: Corner Shop,DS,2005.0,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,2006-01-31,"Join your Tamagotchi friends as they open their first shop. Keep your customers happy and watch your business grow. Partner with your favorite Tamagotchi character. Choose your shop type and open for business. Clean teeth, do laundry, perform music and more for your customers. Swap items with your friends wirelessly. Unlock secret codes for your Tamagotchi Connection virtual pet! [Bandai]",59.0,7.7
5569,Football Manager 2011,PC,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26,2010-11-04,"With more new features than ever before, including real-time contract negotiation, a revamped training system and a number of match engine improvements, Football Manager 2011 will once again raise the bar for Soccer management games.",85.0,8.3
5570,Final Fantasy IV,DS,2007.0,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26,2008-07-21,"Four elemental Crystals, each possessing awesome power, lie scattered throughout the realm. However, men are quick to covet things which offer strength, and easily corrupted by the might which they possess. Seduced by the promised power of the Crystals, the kingdom of Baron begins employing unprovoked force to seize them from peaceful nations. The dark knight Cecil – Lord Captain of Baron’s elite force, the Red Wings – is ordered by his king to obtain the Crystals, but soon begins to question the monarch's motives. Stricken with grief at his own actions, yet burdened by his loyalty to his country and his personal sense of honor, Cecil at last decides to turn from the path of darkness and destruction. Enraged, the king accuses him of disloyalty, strips Cecil of his command, and sends him off to slay a mysterious beast that lurks in the nearby Valley of Mist. Cecil embarks on a fateful journey that will bring trials, betrayals, friendship, loss and self-discovery. Can Cecil open his eyes and become the man of honor that he must be? Dive into the first RPG to incorporate the innovative Active Time Battle system, now further enhanced and refined for the Nintendo DS. Train and customize Whytkin by playing a variety of mini-games and challenge another player to head-to-head battle via local wireless connection. [Square Enix]",85.0,8.4
5572,Hyrule Warriors,WiiU,2014.0,Action,Nintendo,0.61,0.42,0.13,0.1,1.26,2014-09-26,"The delicate balance of the Triforce has been disrupted, and Hyrule Kingdom is once again being torn apart by a dark power, this time lead by Sorceress Cia. Now its up to the legendary hero Link to face hordes of enemies and find the missing Princess Zelda. Advance the story to unlock new playable characters with unique moves and weapon types. Collect Rupees and other useful items to upgrade weapons and craft badges, which you can use to bolster each warriors abilities. Then unleash the full power of your attacks with intense combos to clear wave after wave of Bokoblin hordes. Youll have to get your gloves dirty to save Hyrule this time. * Play as fan-favorite characters like Link and Impa for the first time in the series! * Battle the fiercest Legend of Zelda enemies across Hyrules most famous locales. * Lay waste to your opponents with brutally efficient attacks and intense combos * Think tactically and complete missions in the most efficient way possible",76.0,8.3
5574,Ratatouille,DS,2007.0,Action,THQ,0.5,0.62,0.0,0.14,1.26,2007-06-26,"Players relive the film's most thrilling moments as they assume the role of Remy, a young rat who dreams of becoming a great French chef, despite the obvious problem of being a rat. From the underground sewers to the bustling streets of Paris, players dash, glide and slide through 6 action-packed worlds filled with dangerous enemies, heists and perilous missions. Players can go head-to-head with their friends in multiplayer mini-games or navigate their way through a sensational rat race that turns the culinary world of Paris upside down.",60.0,5.5
5583,LEGO The Lord of the Rings,X360,2012.0,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26,2012-11-13,LEGO The Lord of the Rings retells the story of the Lord of the Rings Trilogy through the visuals of the LEGO universe.,82.0,8.3
5604,Winter Sports: The Ultimate Challenge,Wii,2007.0,Sports,RTL,0.45,0.68,0.0,0.12,1.26,2007-12-11,Break world records in diverse single player modes and challenge your friends and family to taxing multiplayer matches. Captivating sports such as Figure skating or Skeleton demand high skills and fast reactions. Experience the fascination of Winter Sports: The Ultimate Challenge with stun-ning graphics and an exciting soundtrack. Multiplayer matches for up to 4 players (2 players in split screen mode). Brand new campaign and career mode promises weeks of fun playing. Compete for record times in the 9 most popular winter sports in 15 disciplines. [Conspiracy Entertainment],52.0,6.8
5605,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008.0,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25,2008-10-14,"SOCOM: Confrontation focuses on online play and the global community and clans that support it. With support for Tournaments, Clan Ladders, Leader Boards, this latest title in the multi-million unit selling franchise is exactly what SOCOM fans have been clamoring for. Additionally, players will be able to modify their appearance through facial and physical customization. A global-scale experience, SOCOM Confrontation gives players the opportunity to battle against the best and brightest from the U.S., Europe and Asia. SOCOM Confrontation deploys with five new North African themed maps, including a 32-player version of ""Crossroads."" Additional themed packs for SOCOM Confrontation will be made available for download via the Playstation Store. [Sony Computer Entertainment]",63.0,6.8
5606,NBA Live 2001,PS,2000.0,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,2000-10-16,NBA Live 2001 follows the fine tradition established by previous versions while adding just about every conceivable gameplay option.,86.0,7.1
5612,Pokemon XD: Gale of Darkness,GC,2005.0,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,2005-09-28,"Pokemon XD is a sequel to the role-playing game Pokémon Coliseum. You'll play as Michael, a Pokémon trainer who is trying to thwart the evil Cipher. Cipher plans to control the world by using the powerful, but unpredictable, shadow Pokémon. Now you must fight back by collecting your own shadow Pokémon and beating Cipher's goons in battle. Pokémon XD also lets you import Pokémon from Game Boy Advance Pokémon games and participate in head-to-head battles with other players.",64.0,8.2
5613,Black,PS2,2006.0,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,2006-02-28,"Join the world's most brutal and enigmatic strike force. The BLACK tactical squad operates under the cloak of complete anonymity and deniability to protect the US from threats foreign and domestic. It answers to no one, allowing it to carry out brutal and overt operations around the globe. From manipulating politicians to controlling intelligence networks and militaries, BLACK operatives are trained at the highest level in psychological warfare, espionage, and lethal arts. Go deep into the world of clandestine warfare as you use any means necessary to get the job done. Overt Action: BLACK operatives do not hide in shadows or sneak behind walls waiting for the right time to engage their foe - they destroy the wall, the enemy, and anything else that gets in their way. The Guns Are the Stars: An explosive arsenal of bleeding-edge weaponry lets you experience the awe-inspiring power of the world's most exotic lethal firepower. If You Can See It, You Can Shoot It: Reduce cities to rubble in a world where virtually nothing is impervious to your bullets. Get Your Blood Pumping—Adrenaline is your friend. Visceral, destructive action sucks you deep into the gameplay as you blaze and blast your own path through open-ended environments. Use destructible worlds and explosive objects to take out enemies in cover, frag multiple enemies at once, or just wreak massive destruction for its own sake. [Electronic Arts]",79.0,8.5
5617,RollerCoaster Tycoon 2,PC,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,1.25,2002-10-15,"Includes 25 Six Flags roller coasters from 5 different locations, including Six Flags Magic Mountain and Six Flags Great Adventure. Create your own incredible roller coasters using the all-new Roller Coaster Designer. Trade creations and challenge other RollerCoaster Tycoons worldwide on rollercoastertycoon.com. Push the limits with new roller coaster types, including Giga Coaster, Spinning Wild Mouse, Inverted Impulse Coaster and more. Customize your park with new and unique themes, including Giant Garden, Wild West, Pirates and more! [Infogrames]",74.0,8.7
5618,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003.0,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25,2003-06-20,"A series of grisly murders brings Lara into conflict with a sinister Alchemist from the past, and a secret alliance of powerful individuals shrouded in mystery. At the center of these mysteries are the Obscura Paintings - five 14th century pieces of art that the Alchemist is desperate to repossess. Accused of the murder of her one time mentor, Werner Von Croy, Lara becomes a fugitive on the run. Pursued by the police, she follows the Alchemist into a dark world of blood, betrayal and vengeance where it is up to her to defeat this unholy alliance, and stop them from unleashing their incredible powers on the world. [Eidos Interactive]",52.0,6.5
5620,Ratchet: Deadlocked,PS2,2005.0,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,2005-10-25,"(Also known as ""Ratchet: Gladiator"" in the UK/EU) In Ratchet: Deadlocked, Ratchet and Clank are captured and forced to compete on an underground reality combat sport show. The show, which features abducted heroes fighting for their lives against a gruesome gang of deadly Exterminators, is run by a deranged media mogul named Gleeman Vox, who intends to use Ratchet and Clank as his next contestants. It doesn't take Vox long to realize that Ratchet is the most promising contestant the show has ever seen. Vox subjects our hero to a series of deadly battles and elaborate games of death, much to the delight of the show's enormous audience. To keep himself and his friends alive, Ratchet has no choice but to participate in the games and keep driving up the show's ratings with spectacular victories -- at least until our heroes can figure out a way to break free from Vox's control, the explosive Deadlock collar fastened to his neck, and bring the mighty Vox Network crashing down. Ratchet: Deadlocked features non-linear gameplay, allowing players greater freedom to choose their missions. In addition, all single-player levels will be available for multiplayer use. With much of the combat taking place in battlefields and arenas, gameplay will be more sports-oriented and will include announcer commentary. Featuring a new mission-structure approach, players will be rewarded with a constant progression of items such as weapons, armor and health. Players can take advantage of the new co-op gameplay functionality available throughout the game by choosing either single-player or multiplayer story mode. In addition, squad-based gameplay will enable players to demolish the competition by commandeering their allied combat bots through critical and strategic battles. [SCEA]",81.0,8.8
5621,Baldur's Gate: Dark Alliance,PS2,2001.0,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24,2001-12-02,"A darkness is gathering in the sprawling port town of Baldur's Gate. Members of the deteriorating city have been found dead, people fear leaving home, and rumors abound of a thieves' guild civil war brewing beneath the streets of the city. The player, down on his luck and carrying little other than a sword strapped to his back, comes fresh to the town and becomes all that stands in the way of the greatest threat ever to strike Baldur's Gate and the Sword Coast. [Interplay]",87.0,8.4
5637,Tales of Xillia,PS3,2011.0,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24,2013-08-06,"TALES OF XILLIA draws players into the adventures of Jude Mathis, a medical student going to school in the capital city of Fennmont, and Milla Maxwell, a mysterious lady accompanied by four unseen beings. In a tale that can be lived from either Jude or Milla’s perspective, the two heroes’ journeys fatefully intersect as they learn that the kingdom of Rashugal has been fatefully experimenting with a powerful device that has effectively been draining the world’s supply of mana. Faced with the knowledge that continued experiments would result in dangerous results, Milla and Jude join forces to restore peace to a dying world in a dangerous journey that will test their courage and convictions.",78.0,8.6
5638,Diddy Kong Racing DS,DS,2007.0,Racing,Nintendo,1.1,0.04,0.0,0.1,1.24,2007-02-05,"A bloated space pig has taken control of Diddy Kong's Island paradise and only you can stop his nefarious plot. Take on this racing challenge as you drive, hover and fly your way across the massive island. This remastered take on a Nintendo 64 classic is sure to rev the engines of adventure racing fans everywhere. Diddy Kong Racing is the first handheld adventure racing game, a genre that lets you visit new locations, talk to interesting characters, advance the storyline and search for hidden secrets - all while engaging other drivers in a series of racing challenges to see who is king of the road. Race Online and in Local Wireless Battles. Drivers can use Nintendo Wi-Fi Connection to go online and race against up to seven other players from around the world. DKR also features eight-player single-card download play, as well as multi-card wireless play. Create Your Own Tracks. Wish Race mode gives you complete freedom to design, build, and race on the track of your dreams. Touch Screen control makes building the course a snap, and Nintendo WFC compatibility lets you share your work of genuis with everyone. Retextured and remixed tracks, new characters and racing challenges, brand new levels, improved vehicle control, Touch Screen controls, gamer tag designs and more make this an experience that both newcomers and seasoned vets will love. [Nintendo]",63.0,7.2
5639,Assassin's Creed: Bloodlines,PSP,2009.0,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24,2009-11-17,"For the first time, become a Master Assassin on the PSP system with Assassin's Creed: Bloodlines. Follow the story of Altair immediately following the events of Assassin’s Creed and track down the last of the Templars who have fled the Holy Land and retreated to the Island of Cyprus. [SCEA]",63.0,7.0
5640,Oddworld: Abe's Oddysee,PS,1997.0,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,1997-08-31,"In a lush of diabolical danger where everyone wants to eat you, you're the skinny guy with no weapons. Run, jump, hide, scramble and talk your way past the ugliest bunch of carnivorous crustaceans ever created. Unlock Abe's special powers then figure out your foes, and you might save your race. Don't, and you're dinner! Enter Oddworld's surreal, sensory overload of pure gaming and claim your destiny.",85.0,8.8
5641,Ridge Racer V,PS2,2000.0,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,2000-10-25,"The asphalt of Ridge City is once again thundering with high-speed action and palm-sweating competition. The checkered flag is flying and so are the cars. Amazingly detailed visuals, from the glowing of heated brake pads tot he smoldering of tires in a power-slide, will have you captivated as the battle for supremacy races on. It's all about speed, power, and control. With Ridge Racer V, your search for unforgiving racing intensity is over.",78.0,7.5
5642,WWE SmackDown vs. Raw 2009,PS2,2008.0,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,2008-11-09,"WWE SmackDown vs. Raw 2009 upholds the franchise’s commitment to delivering the definitive videogame simulation of live WWE programming. The Xbox 360, PLAYSTATION 3 system, PlayStation 2 system and PSP system versions of the game unleash a brand new tag team experience, allowing players to build momentum and attributes, eliminate opponents with high impact double teams and finishers, as well as get the “hot tag” for the win. The franchise's renowned creation system offers a brand new Create-A-Finisher option, while a new Road to WrestleMania Mode paves the way to WWE’s biggest event of the year and lets players experience co-op storylines for the first time. WWE SmackDown vs. Raw 2009 also extends the virtual WWE gameplay experience with robust online capabilities, including the highly anticipated debut of downloadable content. [THQ]",79.0,7.0
5678,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,2010-04-27,"EA SPORTS 2010 FIFA World Cup South Africa features all the emotion and passion of the fiercest national rivalries battling on the world’s biggest stage, with all 199 national teams that took part in qualification, all 10 official stadiums to be used in South Africa and stadiums from each qualifying region. Gamers can play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup comes to life in spectacular detail, including confetti rain, streamers, & fireworks - just like the official tournament. [Electronic Arts]",83.0,8.3
5694,Ninja Gaiden,XB,2004.0,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,2004-03-02,"Ninja Gaiden first debuted in the 1988 and now the young ninja returns. As Ryu Hayabusa, you seek revenge after the Vigor Empire massacres your clan. Skilled in battle actions and ninja moves, you are well prepared to hunt down the Holy Emperor and reclaim the magic sword ""Ryuken."" Ninja Gaiden features killer gameplay, stunning graphics, and new weapons such as the Dragon Sword, warhammer, shurikens, and nunchakus. Plus, there are massive levels filled with enemies and Xbox Live feature will enable future high score tournaments and downloadable content.",91.0,8.8
5695,Medal of Honor: Airborne,PS3,2007.0,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23,2007-09-04,"Step into the boots of Boyd Travers, Private First Class of the 82nd Airborne Division and engage in battles throughout Europe. From rocky beginnings in Sicily to war-winning triumphs in Germany, each mission begins behind enemy lines, with an intense and fully interactive airdrop. Your ability to determine your own starting point dramatically changes the way each mission plays out. View the entire operation from the air, and then control your parachute to choose your landing spot. On the ground, gather your senses and assess the terrain. A wide variety of authentic, customizable weapons are at your disposal, each with distinct characteristics. Choose your path in this free roaming FPS environment. Medal of Honor Airborne also features exceptionally photo-realistic characters, adding to the intensity of the cinematic, story-driven game. [Electronic Arts]",78.0,7.3
5704,Castlevania,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,1998-12-31,"Take control of Reinhardt Schneider, a whip-toting Vampire Killer who has waited his whole life to meet his destiny, or Carrie Fernandez, a young girl with a strong magical presence who is mysteriously drawn to Dracula's evil Castlevania. It is their duty to seek out Castlevania and put an end to its residents' plans. What is your destiny?",78.0,7.3
5706,Donkey Kong Country 2,GBA,2004.0,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,2004-11-15,"The Donkey Kong Country series returns to the Game Boy Advance in a sequel that features Dixie Kong. She and Diddy Kong must team up to rescue Donkey Kong from the evil Kaptain K. Rool. You'll play as both Diddy and Dixie, and master their different attacks. Test your skills and beat the clock in Diddy's Dash, or race against your friends to see who's the fastest. You can play the game solo or challenge your friends in new bonus games such as Funky's Flights and Bag a Bug.",80.0,8.6
